 file:review.cpp ,function:main ,line:27 start of logging
 file:review.cpp ,function:PromptUserForInt ,line:87 start of function
 file:review.cpp ,function:PrintMenu ,line:98 start of function
 file:review.cpp ,function:PrintMenu ,line:106 end of function
 file:review.cpp ,function:PromptUserForInt ,line:87 start of function
 file:review.cpp ,function:PrintArray ,line:111 start of function
 file:review.cpp ,function:PrintArray ,line:119 end of function
 file:review.cpp ,function:PrintMenu ,line:98 start of function
 file:review.cpp ,function:PrintMenu ,line:106 end of function
 file:review.cpp ,function:PromptUserForInt ,line:87 start of function
 file:review.cpp ,function:PromptUserForInt ,line:87 start of function
 file:review.cpp ,function:PrintMenu ,line:98 start of function
 file:review.cpp ,function:PrintMenu ,line:106 end of function
 file:review.cpp ,function:PromptUserForInt ,line:87 start of function
 file:review.cpp ,function:PrintArray ,line:111 start of function
 file:review.cpp ,function:PrintArray ,line:119 end of function
 file:review.cpp ,function:PrintMenu ,line:98 start of function
 file:review.cpp ,function:PrintMenu ,line:106 end of function
 file:review.cpp ,function:PromptUserForInt ,line:87 start of function
 file:review.cpp ,function:PromptUserForInt ,line:87 start of function
 file:review.cpp ,function:PromptUserForInt ,line:87 start of function
 file:review.cpp ,function:PrintMenu ,line:98 start of function
 file:review.cpp ,function:PrintMenu ,line:106 end of function
 file:review.cpp ,function:PromptUserForInt ,line:87 start of function
 file:review.cpp ,function:PrintArray ,line:111 start of function
 file:review.cpp ,function:PrintArray ,line:119 end of function
 file:review.cpp ,function:PrintMenu ,line:98 start of function
 file:review.cpp ,function:PrintMenu ,line:106 end of function
 file:review.cpp ,function:PromptUserForInt ,line:87 start of function
 file:review.cpp ,function:PrintMenu ,line:98 start of function
 file:review.cpp ,function:PrintMenu ,line:106 end of function
 file:review.cpp ,function:PromptUserForInt ,line:87 start of function
